SSID,BSSID,Signal,Channel,Vendor
STUDENT-HUB,68:21:5f:9d:08:a0:,-82,0,Unknown
siddhubhai_5,ec:a2:a0:06:ef:d6:,-81,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-78,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
LR5,72:21:5f:9d:08:9f:,-78,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-81,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-34,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-52,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
HAll FRONT,b8:6a:97:44:6f:92:,-34,0,Unknown
HAll FRONT,b8:6a:97:44:6f:91:,-52,0,Unknown
nirvan2021_5,c8:9c:bb:6d:58:cd:,-86,0,Unknown
pradipnet_5,c8:9c:bb:6e:2a:3d:,-81,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8b:,-77,0,Unknown
STW MEETING ROOM,82:a2:35:4d:b2:8a:,-59,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:ea:,-54,0,Unknown
STWCU_LR-11,b8:6a:97:44:6e:e9:,-48,0,Unknown
minila_5,04:75:f9:04:18:fd:,-81,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3b:,-74,0,Unknown
STWCU_ICR-2,e0:01:a6:60:36:3a:,-70,0,Unknown
STWCU_LR-10,68:21:5f:9d:0b:18:,-61,0,Unknown
SOFTWARICA_COVENTRY,62:21:5f:9d:08:a0:,-83,0,Unknown
STUDENT-HUB,68:21:5f:9d:08:a0:,-82,0,Unknown
siddhubhai_5,ec:a2:a0:06:ef:d6:,-81,0,Unknown
roshendra_5,40:e1:e4:8a:9c:5e:,-78,0,Unknown
Guest Network,b8:6a:97:44:6f:42:,-42,0,Unknown
Guest Network,b8:6a:97:44:6f:41:,-44,0,Unknown
STW_CU,b8:6a:97:14:41:c8:,-72,0,Unknown
LR5,72:21:5f:9d:08:9f:,-78,0,Unknown
STWCU_LR-12,80:a2:35:4d:b2:1b:,-81,0,Unknown
